scenario,episode_id,task_id,agent_id,t_arrival_slot,t_arrival_time,b_mb,rho_cyc_per_mb,c_cycles,mem_mb,modality,has_deadline,deadline_s,deadline_time,non_atomic,split_ratio,action_space_hint,deadline_slots,size_bucket,compute_bucket,mem_bucket,atomicity,split_bucket,urgency,latency_sensitive,compute_heavy,io_heavy,memory_heavy,routing_hint,task_type,task_subtype,type_reason,multi_flags,final_flag,is_general,is_deadline_hard,is_latency_sensitive,is_compute_intensive,is_data_intensive,cluster_id
heavy,0,10,11,1,1.0,3.673194,2384332500.0,8758115000.0,68.086655,sensor,0,,,0,0.0,discrete,,S,L,M,atomic,NA,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['compute_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,11,13,1,1.0,7.5656714,1693729900.0,12814204000.0,30.378454,text,0,,,1,0.5036883,continuous,,L,M,S,splittable,S,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,"['io_heavy', 'splittable']",data_intensive,False,False,False,False,True,1
heavy,0,12,13,1,1.0,5.6751122,1022231300.0,5801277400.0,46.842182,text,0,,,0,0.0,discrete,,M,S,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,1
heavy,0,13,2,2,2.0,10.223945,2083541800.0,21302016000.0,54.177032,text,0,,,0,0.0,discrete,,L,L,M,atomic,NA,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,2
heavy,0,14,3,2,2.0,12.007941,2439618300.0,29294793000.0,36.566746,sensor,0,,,0,0.0,discrete,,L,L,S,atomic,NA,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,1
heavy,0,15,6,2,2.0,2.300701,1571838800.0,3616331000.0,83.23017,sensor,1,0.42890853,2.4289086,1,0.5445051,continuous,1,S,M,L,splittable,M,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,16,8,2,2.0,8.310906,4113836000.0,34189707000.0,30.83848,text,0,,,1,0.5844678,continuous,,L,L,S,splittable,M,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,17,8,2,2.0,9.731069,2038558100.0,19837348000.0,47.674458,text,1,0.5638748,2.5638747,0,0.0,discrete,1,L,L,S,atomic,NA,hard,True,True,True,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'io_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,18,13,2,2.0,6.5406694,2460308700.0,16092066000.0,37.03136,sensor,0,,,0,0.0,discrete,,L,L,S,atomic,NA,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,1
heavy,0,19,4,3,3.0,2.1668437,1678796400.0,3637689300.0,21.587456,text,0,,,0,0.0,discrete,,S,M,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,20,6,3,3.0,2.6628354,2378550800.0,6333690000.0,85.04675,image,0,,,0,0.0,discrete,,S,L,L,atomic,NA,none,False,True,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy']",compute_intensive,False,False,False,True,False,0
heavy,0,21,15,3,3.0,4.4718843,1000103740.0,4472348000.0,56.206154,image,1,0.59945166,3.5994515,0,0.0,discrete,1,M,S,M,atomic,NA,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),['deadline_hard'],deadline_hard,False,True,False,False,False,0
heavy,0,22,0,4,4.0,4.535368,831536500.0,3771324000.0,34.275257,video,0,,,0,0.0,discrete,,M,S,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,23,2,4,4.0,2.6123264,2029787100.0,5302466600.0,68.58134,image,0,,,1,0.57413346,continuous,,S,L,M,splittable,M,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'splittable']",compute_intensive,False,False,False,True,False,2
heavy,0,24,4,4,4.0,8.105993,1578607000.0,12796176000.0,94.3783,text,1,0.6537335,4.6537333,0,0.0,discrete,1,L,M,L,atomic,NA,hard,True,False,True,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'io_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,25,6,4,4.0,2.641643,2963285500.0,7827942400.0,68.36883,text,0,,,1,0.65337545,continuous,,S,L,M,splittable,M,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,26,6,4,4.0,2.2461987,2823176000.0,6341414400.0,62.5451,video,1,0.56722367,4.5672235,0,0.0,discrete,1,S,L,M,atomic,NA,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,27,8,4,4.0,1.5766467,2031837400.0,3203489800.0,35.58159,text,0,,,0,0.0,discrete,,S,L,S,atomic,NA,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['compute_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,28,10,4,4.0,1.6684527,1184740500.0,1976683400.0,115.51231,text,0,,,1,0.514732,continuous,,S,S,L,splittable,S,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,29,12,4,4.0,4.2622,1003620030.0,4277629400.0,72.40215,image,1,0.8645381,4.864538,1,0.5437768,continuous,1,M,S,M,splittable,M,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'splittable']",deadline_hard,False,True,False,False,False,2
heavy,0,30,13,4,4.0,6.5212336,1101249400.0,7181505000.0,59.785057,sensor,0,,,0,0.0,discrete,,L,S,M,atomic,NA,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,['io_heavy'],data_intensive,False,False,False,False,True,1
heavy,0,31,13,4,4.0,8.294344,2423866600.0,20104385000.0,83.51845,image,0,,,0,0.0,discrete,,L,L,L,atomic,NA,none,False,True,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,1
heavy,0,32,0,5,5.0,8.618973,2733076500.0,23556311000.0,61.608776,text,1,0.84725857,5.8472586,0,0.0,discrete,1,L,L,M,atomic,NA,hard,True,True,True,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'io_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,33,1,5,5.0,6.743649,1092597400.0,7368093700.0,109.3677,sensor,0,,,0,0.0,discrete,,L,S,L,atomic,NA,none,False,False,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,1
heavy,0,34,4,5,5.0,3.0718584,1198750100.0,3682390500.0,85.1679,image,0,,,0,0.0,discrete,,S,S,L,atomic,NA,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['memory_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,35,6,5,5.0,5.0562916,1839682700.0,9301972000.0,68.54446,image,0,,,1,0.64623547,continuous,,M,L,M,splittable,M,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,36,7,5,5.0,4.87603,3209502200.0,15649629000.0,78.03031,text,0,,,0,0.0,discrete,,M,L,L,atomic,NA,none,False,True,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy']",compute_intensive,False,False,False,True,False,1
heavy,0,37,10,5,5.0,3.7973208,1507633300.0,5724967000.0,71.1234,video,0,,,0,0.0,discrete,,S,M,M,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,38,11,5,5.0,4.2528076,1044499140.0,4442054000.0,122.00748,image,0,,,1,0.7462893,continuous,,M,S,L,splittable,L,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,39,12,5,5.0,3.011946,2449951000.0,7379120000.0,45.568012,text,1,0.6313616,5.6313615,1,0.43199125,continuous,1,S,L,S,splittable,S,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'splittable']",deadline_hard,False,True,False,False,False,2
heavy,0,40,13,5,5.0,5.240513,1120788900.0,5873508400.0,78.95167,video,0,,,1,0.82418996,continuous,,M,S,L,splittable,L,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,1
heavy,0,41,15,5,5.0,5.3566117,2564647200.0,13737819000.0,53.8762,video,0,,,1,0.49549675,continuous,,M,L,M,splittable,S,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,42,15,5,5.0,9.845623,1511653900.0,14883173000.0,39.111954,sensor,0,,,1,0.6150036,continuous,,L,M,S,splittable,M,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,"['io_heavy', 'splittable']",data_intensive,False,False,False,False,True,0
heavy,0,43,16,5,5.0,6.0490336,1599891000.0,9677794000.0,38.633022,video,0,,,1,0.6822163,continuous,,M,M,S,splittable,M,none,False,False,False,False,LOCAL,general,general,no dominant constraint,['splittable'],general,True,False,False,False,False,0
heavy,0,44,16,5,5.0,4.5383515,1289182100.0,5850761000.0,29.652193,video,0,,,0,0.0,discrete,,M,M,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,45,17,5,5.0,2.2170122,1647734500.0,3653047800.0,52.887333,text,1,0.7320339,5.7320337,0,0.0,discrete,1,S,M,M,atomic,NA,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),['deadline_hard'],deadline_hard,False,True,False,False,False,1
heavy,0,46,0,6,6.0,5.6973124,443017700.0,2524010200.0,95.237404,sensor,0,,,0,0.0,discrete,,M,S,L,atomic,NA,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['memory_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,47,4,6,6.0,6.296389,1398692900.0,8806714000.0,50.866604,video,0,,,0,0.0,discrete,,M,M,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,48,4,6,6.0,6.932608,3284117200.0,22767497000.0,49.61203,video,0,,,1,0.6879423,continuous,,L,L,S,splittable,M,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,49,15,6,6.0,6.451955,924989630.0,5967991300.0,161.9245,image,0,,,1,0.50652045,continuous,,L,S,L,splittable,S,none,False,False,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'io_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,50,0,7,7.0,5.0530057,1559246200.0,7878880000.0,81.27874,video,1,0.36073697,7.360737,1,0.41933146,continuous,1,M,M,L,splittable,S,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,51,0,7,7.0,13.295975,1602239900.0,21303341000.0,47.20246,text,1,0.540823,7.540823,1,0.5872272,continuous,1,L,M,S,splittable,M,hard,True,False,True,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'io_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,52,6,7,7.0,4.118858,2116763000.0,8718645000.0,41.703453,sensor,0,,,0,0.0,discrete,,M,L,S,atomic,NA,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['compute_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,53,13,7,7.0,15.9256315,1114629500.0,17751180000.0,38.88196,image,0,,,0,0.0,discrete,,L,S,S,atomic,NA,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,['io_heavy'],data_intensive,False,False,False,False,True,1
heavy,0,54,14,7,7.0,4.5138683,2979911400.0,13450928000.0,81.65116,sensor,0,,,1,0.7105681,continuous,,M,L,L,splittable,L,none,False,True,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,55,15,7,7.0,3.2854178,800470660.0,2629880600.0,94.1997,text,0,,,0,0.0,discrete,,S,S,L,atomic,NA,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['memory_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,56,16,7,7.0,2.584608,3204959200.0,8283563500.0,43.21171,sensor,0,,,1,0.40274388,continuous,,S,L,S,splittable,S,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,57,0,8,8.0,4.1118164,1095355100.0,4503899000.0,53.261864,sensor,0,,,0,0.0,discrete,,M,S,M,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,58,3,8,8.0,16.809551,1041518200.0,17507453000.0,105.194244,image,0,,,1,0.50442374,continuous,,L,S,L,splittable,S,none,False,False,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'io_heavy', 'splittable']",compute_intensive,False,False,False,True,False,1
heavy,0,59,4,8,8.0,3.907743,817350700.0,3193996500.0,68.76979,image,0,,,0,0.0,discrete,,S,S,M,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,60,6,8,8.0,13.948965,1966658000.0,27432845000.0,113.68456,text,0,,,1,0.59226435,continuous,,L,L,L,splittable,M,none,False,True,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy', 'io_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,61,8,8,8.0,2.9079986,2016930400.0,5865231000.0,140.50958,video,0,,,1,0.49731758,continuous,,S,L,L,splittable,S,none,False,True,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,62,8,8,8.0,4.359614,1225641300.0,5343323000.0,32.476284,image,1,0.88215744,8.882157,0,0.0,discrete,1,M,S,S,atomic,NA,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),['deadline_hard'],deadline_hard,False,True,False,False,False,0
heavy,0,63,13,8,8.0,3.440495,1278878000.0,4399973000.0,94.37093,video,1,0.570112,8.570112,0,0.0,discrete,1,S,M,L,atomic,NA,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy']",deadline_hard,False,True,False,False,False,1
heavy,0,64,16,8,8.0,4.0030446,1138224600.0,4556364300.0,77.70379,image,0,,,0,0.0,discrete,,M,S,L,atomic,NA,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['memory_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,65,2,9,9.0,12.43152,1876392800.0,23326417000.0,22.113682,image,0,,,0,0.0,discrete,,L,L,S,atomic,NA,none,False,True,True,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['compute_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,2
heavy,0,66,5,9,9.0,2.1701465,1280714100.0,2779337500.0,36.60798,image,0,,,0,0.0,discrete,,S,M,S,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,67,7,9,9.0,2.7173347,765682600.0,2080616000.0,64.15541,image,0,,,1,0.67066264,continuous,,S,S,M,splittable,M,none,False,False,False,False,LOCAL,general,general,no dominant constraint,['splittable'],general,True,False,False,False,False,1
heavy,0,68,8,9,9.0,5.155551,896373950.0,4621301000.0,151.85901,text,0,,,1,0.8138444,continuous,,M,S,L,splittable,L,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,69,8,9,9.0,4.893759,1700098400.0,8319872000.0,79.3548,text,0,,,1,0.41979823,continuous,,M,M,L,splittable,S,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,0
heavy,0,70,9,9,9.0,2.7159994,2278102500.0,6187325000.0,66.70368,image,1,0.4520801,9.45208,1,0.5363636,continuous,1,S,L,M,splittable,M,hard,True,True,False,False,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,71,10,9,9.0,7.6769714,1609062500.0,12352727000.0,94.5399,text,0,,,0,0.0,discrete,,L,M,L,atomic,NA,none,False,False,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,0
heavy,0,72,15,9,9.0,4.2739453,1458774300.0,6234721300.0,63.246964,image,0,,,0,0.0,discrete,,M,M,M,atomic,NA,none,False,False,False,False,LOCAL,general,general,no dominant constraint,[],general,True,False,False,False,False,0
heavy,0,73,15,9,9.0,10.6846485,1144776800.0,12231539000.0,99.276024,image,1,0.5559844,9.5559845,1,0.7315093,continuous,1,L,S,L,splittable,L,hard,True,False,True,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'io_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,74,15,9,9.0,3.325998,2455872500.0,8168228000.0,67.64904,text,0,,,0,0.0,discrete,,S,L,M,atomic,NA,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['compute_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,75,15,9,9.0,4.4459414,1346879000.0,5988144600.0,69.80678,image,1,0.38455793,9.384558,0,0.0,discrete,1,M,M,M,atomic,NA,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),['deadline_hard'],deadline_hard,False,True,False,False,False,0
heavy,0,76,2,10,10.0,6.4391584,654857540.0,4216731400.0,126.25904,image,0,,,0,0.0,discrete,,L,S,L,atomic,NA,none,False,False,True,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'io_heavy']",compute_intensive,False,False,False,True,False,2
heavy,0,77,5,10,10.0,3.4889064,1252090400.0,4368426000.0,37.390465,sensor,0,,,1,0.5947332,continuous,,S,M,S,splittable,M,none,False,False,False,False,LOCAL,general,general,no dominant constraint,['splittable'],general,True,False,False,False,False,0
heavy,0,78,6,10,10.0,2.0580833,1383244300.0,2846831900.0,75.15199,sensor,1,0.5824744,10.582475,0,0.0,discrete,1,S,M,M,atomic,NA,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),['deadline_hard'],deadline_hard,False,True,False,False,False,0
heavy,0,79,8,10,10.0,6.434044,1477850800.0,9508557000.0,41.19032,image,1,0.54369426,10.5436945,1,0.5035406,continuous,1,L,M,S,splittable,S,hard,True,False,True,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'io_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,80,8,10,10.0,4.6241946,1277945000.0,5909466000.0,49.391586,text,1,0.9973886,10.997389,1,0.49134818,continuous,1,M,M,S,splittable,S,hard,True,False,False,False,MEC,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,81,10,10,10.0,1.7906,2469528300.0,4421937000.0,38.404743,image,0,,,0,0.0,discrete,,S,L,S,atomic,NA,none,False,True,False,False,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,['compute_heavy'],compute_intensive,False,False,False,True,False,0
heavy,0,82,0,11,11.0,14.492838,1263407900.0,18310367000.0,33.122913,video,0,,,0,0.0,discrete,,L,M,S,atomic,NA,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,['io_heavy'],data_intensive,False,False,False,False,True,0
heavy,0,83,5,11,11.0,4.6043057,1571537700.0,7235840500.0,133.39523,video,1,0.30440724,11.304407,1,0.5266986,continuous,1,M,M,L,splittable,S,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,84,11,11,11.0,2.6064184,1720699400.0,4484863000.0,119.355965,video,1,0.6760297,11.676029,0,0.0,discrete,1,S,M,L,atomic,NA,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy']",deadline_hard,False,True,False,False,False,0
heavy,0,85,15,11,11.0,10.353322,1957966800.0,20271460000.0,103.736145,text,1,0.7742633,11.774263,1,0.8351278,continuous,1,L,L,L,splittable,L,hard,True,True,True,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'compute_heavy', 'memory_heavy', 'io_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,86,17,11,11.0,4.9847493,1236507900.0,6163682000.0,100.37057,text,0,,,1,0.53474253,continuous,,M,M,L,splittable,M,none,False,False,False,True,CLOUD,compute_intensive,compute_or_memory_heavy,high compute/memory demand,"['memory_heavy', 'splittable']",compute_intensive,False,False,False,True,False,1
heavy,0,87,0,12,12.0,6.3469625,545917100.0,3464915500.0,29.572016,video,0,,,0,0.0,discrete,,L,S,S,atomic,NA,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,['io_heavy'],data_intensive,False,False,False,False,True,0
heavy,0,88,0,12,12.0,4.2195687,1253487400.0,5289175600.0,88.690674,video,1,0.6255978,12.625598,1,0.64750975,continuous,1,M,M,L,splittable,M,hard,True,False,False,True,CLOUD,deadline_hard,deadline_hard,hard deadline (tight slots),"['deadline_hard', 'memory_heavy', 'splittable']",deadline_hard,False,True,False,False,False,0
heavy,0,89,0,12,12.0,12.169383,1573134800.0,19144081000.0,40.905994,video,0,,,0,0.0,discrete,,L,M,S,atomic,NA,none,False,False,True,False,LOCAL,data_intensive,large_input_bandwidth,large data volume / IO heavy,['io_heavy'],data_intensive,False,False,False,False,True,0
